ID,date,item
T523,2022-05-01,SUGAR PANNED (GEMS BFF)|CREAM (BRITANNIA BOURBON)|MARIE (MARIE GOLD REGULAR)|SALT CRACKER (MONACO)|COATED WAFER BISC (KITKAT)
T524,2022-05-01,POTATO WAFERS (LAYS CARIBBEAN STYLE)|NOODLES (ZOOPY)|EXTRUDED SNACKS (CHEETOS CHEEZ PUFF)
T526,2022-05-01,SUGAR PANNED (GEMS BFF)|COATED WAFER BISC (GANDOUR)|CHOCOLATE PANNED (CADBURY SHOTS)
T527,2022-05-01,SUGAR PANNED (GEMS)
T528,2022-05-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T529,2022-05-01,POWDERED SALT (TATA SALT)|WASHING POWDERS/LIQUIDS (WHEEL ACTIVE)
T531,2022-05-01,NON-ALKALINE (EVEREADY 1015)
T532,2022-05-01,COUNT (SNICKERS)
T533,2022-05-01,EXTRUDED SNACKS (CHEETOS CHEEZ PUFF)
T535,2022-05-01,POWDERED SALT (TATA SALT)
T536,2022-05-01,TOFFEES (CHUPA CHUPS SOUR BELT)|MOULDED (DAIRY MILK)|SUGAR PANNED (GEMS BFF)|MOULDED (DAIRY MILK)
T537,2022-05-01,CREAM (SUNFEAST DARK FANTSY CHOCOFILS)
T538,2022-05-01,POTATO WAFERS (LAYS MAGIC MASALA)
T540,2022-05-01,TOFFEES (CHUPA CHUPS SOUR BELT)
T541,2022-05-01,WAFER CREAM (GONE MAD)|INSTANT NOODLES (SUNFEAST YIPPEE MAGIC MASALA)
T542,2022-05-01,SWEET/COOKIES (HAPPY HAPPY)
T544,2022-05-01,TOFFEES (CHUPA CHUPS SOUR BITES)
T550,2022-05-01,CREAM (TREAT JAM)
T551,2022-05-01,PACKAGED PURE GHEE (AMUL)
T552,2022-05-01,BLENDED (EVEREST)|MOULDED (DAIRY MILK)|MOULDED (DAIRY MILK)
T554,2022-05-01,MARIE (MARIE GOLD REGULAR)
T556,2022-05-01,NOODLES (ZOOPY)
T557,2022-05-01,LOLIPOPS (CHUPA CHUPS)|TOFFEES (CHUPA CHUPS SOUR BITES)
T560,2022-05-01,TOFFEES (KISMI BAR)
T562,2022-05-01,NON-SALT CRACKER (PARLE KRACK JACK)
T563,2022-05-01,MOULDED (DAIRY MILK)
T564,2022-05-01,TOFFEES (CHUPA CHUPS SOUR BELT)
T566,2022-05-01,MAIN PACKS (WAGH BAKRI PATTI LEAF)
T568,2022-05-01,KETCHUPS/SAUCES (SAMS)
T569,2022-05-01,MOULDED (DAIRY MILK)|MOULDED (DAIRY MILK)
T571,2022-05-01,POTATO WAFERS (LAYS AMERICAN STYLE)
T572,2022-05-01,SWEET/COOKIES (NICE TIME)
T573,2022-05-01,COATED WAFER BISC (GANDOUR)|RICE BRAN (FORTUNE)
T574,2022-05-01,CHEWING GUMS (ORBIT)
T576,2022-05-01,TOOTH PASTES (SENSODYNE)
T577,2022-05-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T580,2022-05-01,MAIN PACKS (WAGH BAKRI PATTI LEAF)
T581,2022-05-01,TOFFEES (KISMI BAR)
T582,2022-05-01,SALT CRACKER (PRIYAGOLD BUTTER DELITE)
T583,2022-05-01,RIGID (SESA)
T584,2022-05-01,TOOTH PASTES (COLGATE MAXFRSH SPICY FRSH RED)
T587,2022-05-01,CONCTN POWDERS (TANG)|BLENDED (JALANI)|BUTTER (AMUL)
T589,2022-05-01,READY TO EAT CEREALS (KELLOGG'S KPAK CHOCOS)|TOFFEES (YOLI YOLA)
T590,2022-05-01,SWEET/COOKIES (PILLSBURY)|SWEET/COOKIES (PARLE 20-20 CASHEW)
T592,2022-05-01,TOFFEES (CHUPA CHUPS SOUR BITES)
T594,2022-05-01,PREMIUM (DETTOL ORIGINAL)|STARTER KIT LV (GOOD KNIGHT ADVANCE ACTIVE)
T596,2022-05-01,MAIN PACKS (SOCIETY LEAF)|WASHING POWDERS/LIQUIDS (TIDE NATURALS)
T597,2022-05-01,POTATO WAFERS (LAYS AMERICAN STYLE)
T598,2022-05-01,POTATO WAFERS (LAYS AMERICAN STYLE)
T600,2022-05-01,MAIN PACKS (SOCIETY LEAF)
T601,2022-05-01,VANASPATI CONS PACK (8/94) (DALDA)
T602,2022-05-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T603,2022-05-01,POTATO WAFERS (LAYS CHILE LIMON)
T604,2022-05-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)|DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)|CREAM (SUNFEAST DARK FANTSY CHOCOFILS)
T605,2022-05-01,MOULDED (DAIRY MILK)|SWEET/COOKIES (MILANO)
T607,2022-05-01,MARIE (VITA MARIE GOLD)|TOFFEES (CHUPA CHUPS SOUR BITES)|HAIR DYES     (1/76) (STREAX HAIR COLOUR)|CREAM (TREAT JAM)
T608,2022-05-01,TOFFEES (YOLI YOLA)
T609,2022-05-01,SUN FLOWER (SUNDAY)
T610,2022-05-01,LOLIPOPS (CHUPA CHUPS)
T611,2022-05-01,COUNT (5 STAR)|MOULDED (DAIRY MILK)
T615,2022-05-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T616,2022-06-01,PACKAGED PURE GHEE (SAGAR)
T619,2022-06-01,WASHING POWDERS/LIQUIDS (ARIEL COMPLETE)
T620,2022-06-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)
T621,2022-06-01,MARGARINE (NUTRALITE YUMMY)|CONFECTIONERY - ECLAIRS (MELODY CHOCOLATY)|CONFECTIONERY - ECLAIRS (CADBURY CHOCLAIRS GOLD)|MARIE (MARIE GOLD REGULAR)|GLUCOSE (PARLE-G)|GLUCOSE (PARLE-G)|JAMS (KISSAN)|SWEET/COOKIES (GOOD DAY CASHEW)|MOULDED (FRUIT AND NUT)|LOLIPOPS (CHUPA CHUPS)|ATTA (SILVER COIN)|SWEET/COOKIES (GOOD DAY BUTTER)
T622,2022-06-01,TOFFEES (CHUPA CHUPS SOUR BITES)
T623,2022-06-01,BLENDED (SHAN)|STAIN REMOVERS (VANISH)
T625,2022-06-01,INSTANT NOODLES (MAGGI NUTRILICIOUS OATS NOODLE)
T626,2022-06-01,DESSERT MIXES (MTR)
T629,2022-06-01,NON-SALT CRACKER (PARLE TOP SPIN)|NON-SALT CRACKER (PARLE KRACK JACK)|CREAM (TREAT JAM)|CREAM (GOLDEN OREO)|SWEET/COOKIES (HIDE & SEEK CHOCOLATE CHIP)
T631,2022-06-01,COATED WAFER BISC (GANDOUR)|TOFFEES (CHUPA CHUPS SOUR BELT)
T632,2022-06-01,READY TO EAT CEREALS (KELLOGG'S KPAK CHOCOS)|NON-SALT CRACKER (LITTLE HEARTS)|CONCTN POWDERS (TANG)|NON-SALT CRACKER (PARLE KRACK JACK)|CREAM (BRITANNIA BOURBON)|CREAM (SUNFEAST DARK FANTSY CHOCOFILS)
T633,2022-06-01,COATED WAFER BISC (GANDOUR)|TOFFEES (CHUPA CHUPS SOUR BELT)
T634,2022-06-01,PACKAGED PURE GHEE (AMUL)
T635,2022-06-01,VANASPATI CONS PACK (8/94) (DALDA)
T636,2022-06-01,CONCTN POWDERS (TANG)
T639,2022-06-01,TOOTH PASTES (COLGATE MAXFRSH SPICY FRSH RED)
T640,2022-06-01,TOFFEES (CHUPA CHUPS SOUR BITES)
T642,2022-06-01,OTHER FACE CREAMS (EMAMI FAIR AND HANDSOME)|PREMIUM (LUX CREAMY PERFECTION)
T643,2022-06-01,COUNT (MR. WAFER)
T648,2022-06-01,INSTANT NOODLES (MAGGI MASALA)
T650,2022-06-01,SWEET/COOKIES (UNIBIC)|CREAM (OREO VANILLA)|POWDERED SALT (TATA SALT)
T651,2022-06-01,AGARBATTI (CYCLE 3 IN 1)|POTATO WAFERS (LAYS AMERICAN STYLE)
T653,2022-06-01,MAIN PACKS (SOCIETY LEAF)
T654,2022-06-01,COATED WAFER BISC (GANDOUR)
T655,2022-06-01,FRAGRANCE - DEODORANT (KAMASUTRA SPARK)|POTATO WAFERS (LAYS AMERICAN STYLE)|SUN FLOWER (AADHAAR)
T657,2022-06-01,READY TO EAT CEREALS (KELLOGG'S KPAK CHOCOS MOON&STA)
T658,2022-06-01,COATED WAFER BISC (GANDOUR)
T660,2022-06-01,TRADITIONAL (VIM)|WASHING POWDERS/LIQUIDS (SURF EXCEL QUICK WASH)
T662,2022-06-01,COUNT (SNICKERS)|TOOTH PASTES (COLGATE DENTALCREAM)
T664,2022-06-01,CREAM (SUNFEAST DARK FANTSY CHOCOFILS)|DETERGENT CAKES/BARS (SARGAM)
T668,2022-06-01,COATED WAFER BISC (KITKAT)|POTATO WAFERS (LAYS CARIBBEAN STYLE)|MOULDED (DAIRY MILK)|INSTANT NOODLES (CHIDOS)|INSTANT NOODLES (KNORR DRY CHINESE NOODLES)|POTATO WAFERS (LAYS CHILE LIMON)|BRANDED (PARACHUTE)|COUNT (5 STAR)|INSTANT NOODLES (MAGGI MASALA)|SWEET/COOKIES (HIDE & SEEK AMERICAN)|SWEET/COOKIES (PARLE 20-20 NICE)|SALT CRACKER (MONACO)|NON-SALT CRACKER (PARLE KRACK JACK)|SALT CRACKER (MONACO)|WAFER CREAM (GONE MAD)|TOFFEES (CHUPA CHUPS SOUR BELT)|SUGAR PANNED (GEMS)|SWEET/COOKIES (UNIBIC)
T670,2022-06-01,GLUCOSE (PARLE-G)|MARIE (VITA MARIE GOLD)
T671,2022-06-01,EXTRUDED SNACKS (KUR KURE PUFFCORN)
T672,2022-06-01,SUN FLOWER (SUNDAY)
T675,2022-06-01,INSTANT NOODLES (CHIDOS)
T676,2022-06-01,SUGAR PANNED (GEMS BFF)
T678,2022-06-01,COUNT (SNICKERS)|SWEET/COOKIES (GOOD DAY CHOCOLATE)
T679,2022-06-01,MARIE (MARIE GOLD REGULAR)|CREAM (GOLDEN OREO)
T685,2022-06-01,SWEET/COOKIES (GOOD DAY CHOCOLATE)
T686,2022-06-01,BROWN POWDERS (BOOST)
T687,2022-06-01,COATED WAFER BISC (KITKAT)
T688,2022-06-01,POTATO WAFERS (LAYS CHILE LIMON)
T689,2022-06-01,INSTANT NOODLES (MAGGI MASALA)
T690,2022-06-01,NON-SALT CRACKER (PARLE KRACK JACK)
T691,2022-06-01,LOLIPOPS (CHUPA CHUPS)|TOFFEES (KISMI BAR)|COUNT (KINDER JOY BOYS)
T693,2022-06-01,COUNT (KINDER JOY GIRLS)
T694,2022-06-01,SACHETS (PANTENE PRO-V NEW)
T695,2022-06-01,SWEET/COOKIES (HIDE & SEEK CHOCOLATE CHIP)|CREAM (OREO STRAWBERRY)|SWEET/COOKIES (GOOD DAY CASHEW)|NON-SALT CRACKER (PARLE KRACK JACK)|MOULDED (DAIRY MILK)|MOULDED (DAIRY MILK SILK)
T700,2022-06-01,SUGAR PANNED (GEMS)
T705,2022-06-01,NON-SALT CRACKER (PARLE KRACK JACK)
T706,2022-06-01,BUTTER (AMUL)|PREMIUM (GODREJ NO 1 SANDAL)
T711,2022-06-01,POTATO WAFERS (LAYS CARIBBEAN STYLE)
T714,2022-06-01,SWEET/COOKIES (HIDE & SEEK CHOCOLATE CHIP)|NON-SALT CRACKER (PARLE KRACK JACK)|CREAM (BRITANNIA BOURBON)|SALT CRACKER (MONACO)|MOULDED (DAIRY MILK)
T716,2022-06-01,MOULDED (DAIRY MILK)
T717,2022-06-01,GATHIA/PAPRI/RIBLON (KUR KURE CHUTNEY RAJASTHANI ST)
T720,2022-07-01,TOFFEES (CHUPA CHUPS SOUR BITES)
T722,2022-07-01,WASHING POWDERS/LIQUIDS (TIDE NATURALS)
T723,2022-07-01,MOULDED (DAIRY MILK)
T725,2022-07-01,LOLIPOPS (CHUPA CHUPS)|CREAM (SUNFEAST DARK FANTSY CHOCOFILS)
T728,2022-07-01,CREAM (SUNFEAST DARK FANTSY CHOCOFILS)
T729,2022-07-01,ANTISEPTIC CREAMS (BOROLINE)
T731,2022-07-01,MOULDED (DAIRY MILK)|FACE WASH (NIVEA MEN DARKSPOT REDUCTN FW)
T732,2022-07-01,PURE (EVEREST)
T733,2022-07-01,POWDERED SALT (TATA SALT)
T734,2022-07-01,SUGAR PANNED (GEMS)
T735,2022-07-01,PURE (EVEREST)
T736,2022-07-01,EXTRUDED SNACKS (DORITOS)|GATHIA/PAPRI/RIBLON (KUR KURE MASALA MUNCH)
T737,2022-07-01,BLENDED (CATCH)|BLENDED (CATCH)
T738,2022-07-01,SWEET/COOKIES (NUTRICHOICE DIGESTIVE)|GLUCOSE (PARLE-G)
T741,2022-07-01,BLENDED (SHAN)
T744,2022-07-01,NON-SALT CRACKER (PARLE KRACK JACK)
T745,2022-07-01,SOAP CAKES/BARS (WHEEL OK ACTIVE)|TRADITIONAL (VIM)|POPULAR (DETTOL ORIGINAL)|TOOTH PASTES (COLGATE MAX FRESH ICY BLAST)|SUN FLOWER (SUNDAY)|SOYABEAN (FORTUNE)|SUN FLOWER (FORTUNE)|WASHING POWDERS/LIQUIDS (ARIEL COMPLETE)|FACE WASH (CLEAN & CLEAR FOAMING FACIAL)
T747,2022-07-01,COUNT (SNICKERS)
T749,2022-07-01,MAIN PACKS (SOCIETY LEAF)|BUTTER (AMUL)
T750,2022-07-01,POTATO WAFERS (LAYS AMERICAN STYLE)
T752,2022-07-01,COATED WAFER BISC (KITKAT)|JAMS (KISSAN)
T755,2022-07-01,TOFFEES (CHUPA CHUPS SOUR BELT)|GLUCOSE (PARLE-G)
T757,2022-07-01,TOFFEES (KISMI BAR)
T758,2022-07-01,COUNT (SNICKERS)|TOFFEES (KISMI BAR)|COUNT (MR. WAFER)
T761,2022-07-01,COATED WAFER BISC (GANDOUR)
T764,2022-07-01,TOFFEES (JUZT JELLY BOTTLES)|AGARBATTI (CYCLE 3 IN 1)
T768,2022-07-01,CREAM (LOTTE CHOCOPIE)|SWEET/COOKIES (HIDE & SEEK CHOCOLATE CHIP)
T769,2022-07-01,MAIN PACKS (SOCIETY LEAF)
T771,2022-07-01,SWEET/COOKIES (HAPPY HAPPY)|MAIN PACKS (BROOKE BOND RED LABEL NAT CARE)|POTATO WAFERS (LAYS CARIBBEAN STYLE)|COUNT (SNICKERS)|DETERGENT CAKES/BARS (RIN ADVANCED)|MAIN PACKS (SOCIETY LEAF)|MAIN PACKS (NAVCHETAN)|TOFFEES (CHUPA CHUPS SOUR BELT)|GATHIA/PAPRI/RIBLON (KUR KURE MASALA MUNCH)|GLUCOSE (PARLE-G)|NON-SALT CRACKER (PARLE KRACK JACK)
T772,2022-07-01,EXTRUDED SNACKS (TOO YUMM VEGGIE STIX)|GATHIA/PAPRI/RIBLON (KUR KURE CHUTNEY RAJASTHANI ST)|MARIE (MARIE GOLD REGULAR)|POTATO WAFERS (LAYS AMERICAN STYLE)|SWEET/COOKIES (GOOD DAY CASHEW)|CREAM (BRITANNIA BOURBON)|SUGAR PANNED (GEMS)|SWEET/COOKIES (PILLSBURY)|MARIE (MARIE GOLD REGULAR)|MARIE (VITA MARIE GOLD)|TOFFEES (CHUPA CHUPS SOUR BITES)|POTATO WAFERS (LAYS CARIBBEAN STYLE)|MOULDED (DAIRY MILK)|DETERGENT CAKES/BARS (SARGAM)|PACKAGED PURE GHEE (DYNAMIX)
T773,2022-07-01,MAIN PACKS (SOCIETY LEAF)|MAIN PACKS (NAVCHETAN)|MAIN PACKS (BROOKE BOND RED LABEL NAT CARE)
T774,2022-07-01,MOULDED (DAIRY MILK)
T775,2022-07-01,WASHING POWDERS/LIQUIDS (SURF EXCEL EASY WASH)
T777,2022-07-01,MAIN PACKS (WAGH BAKRI PATTI LEAF)
T778,2022-07-01,CONFECTIONERY - ECLAIRS (MELODY CHOCOLATY)|HARD B  CANDIES (MANGO BITE)
T780,2022-07-01,TOFFEES (YOLI YOLA)
T782,2022-07-01,COUNT (SNICKERS)|WASHING POWDERS/LIQUIDS (WHEEL ACTIVE)
T783,2022-07-01,PROCESSED CHEESE (AMUL)
T784,2022-07-01,SALT CRACKER (MONACO)
T785,2022-07-01,CREAM (OREO CHOCOLATE)|WASHING POWDERS/LIQUIDS (TIDE JASMINE ROSE)
T787,2022-07-01,SUN FLOWER (SUNDAY)
T788,2022-07-01,GLUCOSE (PARLE-G)
T791,2022-07-01,FABRIC SOFTNERS (COMFORT BLUE - MORNING FRESH)
T793,2022-07-01,ATTA (SILVER COIN)
T794,2022-07-01,TOFFEES (CHUPA CHUPS SOUR BITES)|ATTA (SILVER COIN)
T795,2022-07-01,CREAM (SUNFEAST DARK FANTSY CHOCOFILS)
T796,2022-07-01,MUSTARD/RAPE SEED (FORTUNE KACHI GHANI)
T797,2022-07-01,NON-SALT CRACKER (PARLE KRACK JACK)|CREAM (OREO CHOCOLATE)|TOOTH PASTES (COLGATE HERBAL WHITE)
T799,2022-07-01,CHEWING GUMS (HAPPYDENT WHITE BAKING SODA)
T801,2022-07-01,COATED WAFER BISC (GANDOUR)
T802,2022-07-01,EXTRUDED SNACKS (KUR KURE PUFFCORN)
T803,2022-07-01,BLENDED (SHAN)
T804,2022-07-01,SUN FLOWER (SUNDAY)|BLENDED (EVEREST)
T805,2022-07-01,POTATO WAFERS (LAYS AMERICAN STYLE)
T806,2022-07-01,TOFFEES (KISMI BAR)
T809,2022-07-01,NON-SALT CRACKER (LITTLE HEARTS)|POTATO WAFERS (LAYS CARIBBEAN STYLE)
T810,2022-07-01,TOFFEES (KISMI BAR)|SANITARY NAPKINS (WHISPER ULTRA CLEAN)|MARIE (VITA MARIE GOLD)|MAIN PACKS (WAGH BAKRI PATTI LEAF)
T812,2022-07-01,CREAM (BRITANNIA BOURBON)
T813,2022-07-01,WASHING POWDERS/LIQUIDS (TIDE NATURALS)|HOT CEREALS (QUAKER OATS)
T814,2022-07-01,INSTANT NOODLES (SUNFEAST YIPPEE MAGIC MASALA)
T815,2022-07-01,POTATO WAFERS (LAYS MAXX)|SWEET/COOKIES (HIDE & SEEK CHOCOLATE CHIP)|MOULDED (DAIRY MILK)|HAIR CONDITIONERS (L'OREAL PARIS)
T816,2022-07-01,CREAM (BRITANNIA BOURBON)
T817,2022-07-01,COATED WAFER BISC (KITKAT)
T822,2022-07-01,COATED WAFER BISC (KITKAT)
T823,2022-07-01,INSTANT NOODLES (MAGGI MASALA)|MAIN PACKS (SOCIETY LEAF)
T824,2022-07-01,MARIE (VITA MARIE GOLD)
T825,2022-07-01,DIAPERS       (8/93) (MAMY POKO PANTS STANDARD)|READY TO EAT CEREALS (KELLOGG'S CORNFLAKE CORN)
T826,2022-07-01,TOFFEES (CHUPA CHUPS SOUR BITES)|LOLIPOPS (CHUPA CHUPS)
T827,2022-07-01,TOFFEES (CHUPA CHUPS SOUR BITES)
T829,2022-07-01,MOUTH WASH (LISTERINE COOLMINT)|CREAM (OREO CHOCOLATE)
T830,2022-07-01,AEROSOL (HIT)
T833,2022-07-01,CREAM (OREO CHOCOLATE)
